tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,levopiramic,dw,23.928
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,sandaracopiramic,dw,2.477
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,neoabietic,dw,0.305
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,palustric,dw,1.956
1129,2019,FFE,pre_rust,4,ENDO-156,diterpene,abietic,dw,0.576
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,dehydroabietic,dw,0.298
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,levopiramic,dw,22.1
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,sandaracopiramic,dw,2.316
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,neoabietic,dw,0.338
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,palustric,dw,2.376
1131,2019,EMF,pre_rust,1,ENDO-156,diterpene,abietic,dw,0.452
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,dehydroabietic,dw,0.344
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,levopiramic,dw,9.398
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,sandaracopiramic,dw,4.05
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,neoabietic,dw,0.488
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,palustric,dw,2.966
1133,2019,EMF,pre_rust,1,ENDO-156,diterpene,abietic,dw,1.031
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,dehydroabietic,dw,0.308
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,levopiramic,dw,9.378
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,sandaracopiramic,dw,2.519
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,neoabietic,dw,0.269
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,palustric,dw,1.725
1135,2019,EMF,pre_rust,1,ENDO-158,diterpene,abietic,dw,1.306
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,dehydroabietic,dw,0.355
1139,2019,EMF,pre_rust,1,ENDO-158,diterpene,levopiramic,dw,10.655
