tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1317,3860,59.5,0,0,Yes,1,29.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.4
1318,3860,50.5,0,0,Yes,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.8
1319,3860,51.5,0,0,Yes,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.2
1320,3860,45,0,0,Yes,1,24.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.4
1321,3860,45,0,0,Yes,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.5
1322,3400,45,0,0,Yes,1,37.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.6
1323,3400,53.5,0,0,Yes,1,29.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.7
1324,3400,66,0,0,Yes,1,33.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
1325,3400,52,0,0,Yes,1,37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
1326,3400,NA,9,9,NA,NA,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
1327,3400,44,4,7,Yes,1,35.2,4,7,1,10,10,0,0,10,4,6,10,4,2,1,1,1,0,0,1,17
1328,3400,46,4,7,Yes,1,37.1,4,7,1,3,3,0,0,3,4,5,2,0,0,1,0,0,0,0,0,15.9
1329,3400,46.5,4,2,Yes,1,34,4,2,1,3,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,19.3
1330,3400,NA,4,9,No,3,31.9,4,6,1,4,6,0,0,6,4,5,6,4,3,1,1,1,0,0,1,17.2
1331,3400,43,4,5,Yes,2,31.8,4,4,1,5,6,0,0,6,4,1,2,0,0,1,0,0,0,0,0,15
1332,3400,NA,4,9,No,3,38.2,4,7,1,6,6,0,0,6,4,6,6,4,3,1,3,3,0,0,3,18.2
1333,3400,NA,4,9,No,3,NA,4,8,2,2,3,0,0,3,4,5,3,4,1,1,0,1,0,0,1,15
1334,3400,NA,4,9,No,3,29.5,4,8,2,4,6,0,0,6,4,7,6,4,5,1,4,5,0,0,5,14
1335,3400,NA,4,9,No,3,26.2,4,8,2,8,8,0,0,8,4,8,8,4,3,1,1,1,2,0,3,17.2
1336,3400,48.5,4,8,Yes,1,34.1,4,8,1,8,9,0,0,9,4,8,9,4,3,1,8,8,0,0,8,23.2
1337,3400,NA,4,9,No,3,27.7,4,8,1,8,10,0,0,10,4,7,10,4,6,1,5,10,0,0,10,15.8
1338,3400,NA,4,9,No,3,27.8,4,7,1,4,8,0,0,8,4,7,4,4,5,1,2,3,0,0,3,15.5
1339,3400,73,4,7,Yes,1,46,4,7,1,5,7,0,0,7,4,6,7,0,0,1,0,0,0,0,0,14.4
1340,3400,62.5,4,3,Yes,1,32.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.9
1341,3400,NA,4,9,No,3,22.8,4,7,1,3,4,0,0,4,4,7,4,4,1,1,0,1,0,0,1,12.8
1342,3400,55.5,0,0,Yes,1,33.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.1
1343,3400,59.5,4,6,Yes,1,39.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5
1344,3400,59.5,4,6,Yes,6,29.5,4,3,1,1,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,9.8
