tree_ID,year,treatment,assessment,block,family
1460,2020,Control,rust_inoc,3,ENDO-159
1461,2020,Control,rust_inoc,3,ENDO-159
1462,2020,Control,rust_inoc,3,ENDO-159
1465,2020,Control,rust_inoc,3,ENDO-155
1467,2020,Control,rust_inoc,3,ENDO-155
1468,2020,Control,rust_inoc,3,ENDO-155
1471,2020,Control,rust_inoc,3,ENDO-160
1474,2020,Control,rust_inoc,3,ENDO-160
1477,2020,Control,rust_inoc,3,ENDO-158
1480,2020,Control,rust_inoc,3,ENDO-158
1481,2020,Control,rust_inoc,3,ENDO-158
1482,2020,Control,rust_inoc,4,ENDO-155
1485,2020,Control,rust_inoc,4,ENDO-155
1489,2020,Control,rust_inoc,4,ENDO-160
1490,2020,Control,rust_inoc,4,ENDO-160
1492,2020,Control,rust_inoc,4,ENDO-160
1496,2020,Control,rust_inoc,4,ENDO-158
1497,2020,Control,rust_inoc,4,ENDO-158
1500,2020,Control,rust_inoc,4,ENDO-159
1501,2020,Control,rust_inoc,4,ENDO-159
1503,2020,Control,rust_inoc,4,ENDO-159
1506,2020,Control,rust_inoc,4,ENDO-157
1507,2020,Control,rust_inoc,4,ENDO-157
1511,2020,Control,rust_inoc,4,ENDO-156
1512,2020,Control,rust_inoc,4,ENDO-156
1513,2020,Control,rust_inoc,4,ENDO-156
1514,2020,FFE,rust_ctrl,1,ENDO-157
1517,2020,FFE,rust_ctrl,1,ENDO-157
1518,2020,FFE,rust_ctrl,1,ENDO-155
1523,2020,FFE,rust_ctrl,1,ENDO-155
1524,2020,FFE,rust_ctrl,1,ENDO-155
1526,2020,FFE,rust_ctrl,1,ENDO-156
1528,2020,FFE,rust_ctrl,1,ENDO-156
1530,2020,FFE,rust_ctrl,1,ENDO-158
1533,2020,FFE,rust_ctrl,1,ENDO-158
1535,2020,FFE,rust_ctrl,1,ENDO-158
1537,2020,FFE,rust_ctrl,1,ENDO-160
1540,2020,FFE,rust_ctrl,1,ENDO-160
1543,2020,FFE,rust_ctrl,1,ENDO-159
1544,2020,FFE,rust_ctrl,1,ENDO-159
1545,2020,FFE,rust_ctrl,1,ENDO-159
1547,2020,FFE,rust_ctrl,2,ENDO-158
1549,2020,FFE,rust_ctrl,2,ENDO-158
1554,2020,FFE,rust_ctrl,2,ENDO-160
1555,2020,FFE,rust_ctrl,2,ENDO-160
1556,2020,FFE,rust_ctrl,2,ENDO-160
1559,2020,FFE,rust_ctrl,2,ENDO-155
1561,2020,FFE,rust_ctrl,2,ENDO-155
1562,2020,FFE,rust_ctrl,2,ENDO-155
1564,2020,FFE,rust_ctrl,2,ENDO-156
1565,2020,FFE,rust_ctrl,2,ENDO-156
1568,2020,FFE,rust_ctrl,2,ENDO-156
1569,2020,FFE,rust_ctrl,2,ENDO-159
1572,2020,FFE,rust_ctrl,2,ENDO-159
1573,2020,FFE,rust_ctrl,2,ENDO-159
1574,2020,FFE,rust_ctrl,2,ENDO-157
1575,2020,FFE,rust_ctrl,2,ENDO-157
1578,2020,FFE,rust_ctrl,3,ENDO-160
1581,2020,FFE,rust_ctrl,3,ENDO-160
1582,2020,FFE,rust_ctrl,3,ENDO-160
1583,2020,FFE,rust_ctrl,3,ENDO-159
1586,2020,FFE,rust_ctrl,3,ENDO-159
1587,2020,FFE,rust_ctrl,3,ENDO-157
1588,2020,FFE,rust_ctrl,3,ENDO-157
1590,2020,FFE,rust_ctrl,3,ENDO-157
1593,2020,FFE,rust_ctrl,3,ENDO-156
1594,2020,FFE,rust_ctrl,3,ENDO-156
1596,2020,FFE,rust_ctrl,3,ENDO-156
1599,2020,FFE,rust_ctrl,3,ENDO-158
1601,2020,FFE,rust_ctrl,3,ENDO-158
1604,2020,FFE,rust_ctrl,3,ENDO-155
1609,2020,FFE,rust_ctrl,3,ENDO-155
1610,2020,FFE,rust_ctrl,4,ENDO-156
1611,2020,FFE,rust_ctrl,4,ENDO-156
1616,2020,FFE,rust_ctrl,4,ENDO-157
1618,2020,FFE,rust_ctrl,4,ENDO-157
